DEPT,DEN_TGSAR,id,uwi
1403.5,2.583596743777522,5,42371365270000
1418.5,2.590223374305702,5,42371365270000
1433.5,2.617994819090841,5,42371365270000
1448.5,2.6226988166065643,5,42371365270000
1463.5,2.6243938205570583,5,42371365270000
1478.5,2.6251885440592515,5,42371365270000
1493.5,2.6217927700980086,5,42371365270000
1508.5,2.619728623869414,5,42371365270000
1523.5,2.620357748349086,5,42371365270000
1538.5,2.6187262343460005,5,42371365270000
1553.5,2.6211876312227735,5,42371365270000
1568.5,2.620771687808465,5,42371365270000
1583.5,2.624630832311305,5,42371365270000
1598.5,2.624502067593409,5,42371365270000
1613.5,2.6245590325042416,5,42371365270000
1628.5,2.6204838810452378,5,42371365270000
1643.5,2.6191918917424744,5,42371365270000
1658.5,2.62296174618973,5,42371365270000
1673.5,2.624746848373684,5,42371365270000
1688.5,2.6232591371459804,5,42371365270000
1703.5,2.6243152787826105,5,42371365270000
1718.5,2.6231848023355453,5,42371365270000
1733.5,2.6217919014511546,5,42371365270000
1748.5,2.6185803006253083,5,42371365270000
1763.5,2.6169355623283015,5,42371365270000
1778.5,2.616209680552299,5,42371365270000
1793.5,2.612822944607524,5,42371365270000
1808.5,2.613643169491385,5,42371365270000
1823.5,2.616376855426148,5,42371365270000
1838.5,2.616269140983803,5,42371365270000
1853.5,2.616771508549452,5,42371365270000
1868.5,2.6167805174128707,5,42371365270000
1883.5,2.6172066696237253,5,42371365270000
1898.5,2.6162464453758014,5,42371365270000
1913.5,2.6169201293176148,5,42371365270000
1928.5,2.6158141791296057,5,42371365270000
1943.5,2.616216643371792,5,42371365270000
1958.5,2.617061150692939,5,42371365270000
1973.5,2.6148288514824394,5,42371365270000
1988.5,2.613070638795717,5,42371365270000
2003.5,2.6116413583419904,5,42371365270000
2018.5,2.611194609973985,5,42371365270000
2033.5,2.609285021995822,5,42371365270000
2048.5,2.611542069746015,5,42371365270000
2063.5,2.6097170440250155,5,42371365270000
2078.5,2.6089921574277377,5,42371365270000
2093.5,2.6082046924940907,5,42371365270000
2108.5,2.6079894607844794,5,42371365270000
2123.5,2.607401528014152,5,42371365270000
2138.5,2.60654558431302,5,42371365270000
2153.5,2.6026181680837635,5,42371365270000
2168.5,2.6028743831827055,5,42371365270000
2183.5,2.6044698877085137,5,42371365270000
2198.5,2.6046791306470576,5,42371365270000
2213.5,2.6039532805625507,5,42371365270000
2228.5,2.6012741188572477,5,42371365270000
2243.5,2.5984154367727013,5,42371365270000
2258.5,2.603484388216968,5,42371365270000
2273.5,2.601929481744629,5,42371365270000
2288.5,2.5992563461488043,5,42371365270000
2303.5,2.5953611316172136,5,42371365270000
2318.5,2.5914287260975306,5,42371365270000
2333.5,2.5911114245350375,5,42371365270000
2348.5,2.5930203969528964,5,42371365270000
2363.5,2.5889008562014153,5,42371365270000
2378.5,2.5954300105597192,5,42371365270000
2393.5,2.592483722915111,5,42371365270000
2408.5,2.5910924319493374,5,42371365270000
2423.5,2.591558049963292,5,42371365270000
2438.5,2.5951026370963186,5,42371365270000
2453.5,2.594782389407282,5,42371365270000
2468.5,2.597553691830762,5,42371365270000
2483.5,2.597045376887744,5,42371365270000
2498.5,2.6026718340383486,5,42371365270000
2513.5,2.6019274111530972,5,42371365270000
2528.5,2.6051515763569286,5,42371365270000
2543.5,2.6072586453776103,5,42371365270000
2558.5,2.6058702009837704,5,42371365270000
2573.5,2.6051500634083857,5,42371365270000
2588.5,2.6061768666943363,5,42371365270000
2603.5,2.6066820348116004,5,42371365270000
2618.5,2.6082026313011335,5,42371365270000
2633.5,2.6079654662340936,5,42371365270000
2648.5,2.611210099038286,5,42371365270000
2663.5,2.6127324860146923,5,42371365270000
2678.5,2.609599974395154,5,42371365270000
2693.5,2.6116591129867066,5,42371365270000
